媒体,15
研究,12
传播,11
信息,9
学生,8
课程,6
项目,6
分析,5
学习,5
基础,5
文化,4
网络,4
知识,4
基金,4
陕西省,4
感知,3
方法,3
新闻,3
本科生,3
数字化,3
社会,3
社会科学,3
社交,3
指导,3
学科,3
相关,3
交互,3
科研,3
领域,3
竞赛,3
能力,3
教育部,2
事件,2
一系列,2
数据,2
面上,2
视觉,2
协作,2
舆情,2
解决,2
规划,2
交叉,2
应急,2
报告,2
年度,2
自然科学,2
研究生,2
国家,2
计划,2
支持,2
学术论文,2
发表,2
国家自然科学基金,2
内容,2
规律,2
基于,2
探索,2
兴趣,2
转型,2
热点问题,2
激发,2
透析,2
机器人,2
用户,2
需求,2
传播学,2
理论,2
课堂教学,2
数据分析,2
培养,2
机制,2
影响,2
西安交大,2
设计,2
情感,2
发展,2
科学研究,2
一门,2
界面设计,2
思考,2
突破,1
大方向,1
围绕,1
人员,1
提出,1
启动,1
回国,1
留学,1
人文,1
可视化,1
辨别,1
出版,1
青年,1
语言,1
思想,1
站稳,1
散射,1
专著,1
面向,1
探究,1
突发事件,1
多维,1
设置,1
网民,1
环境,1
受众,1
余篇,1
数字,1
刊物,1
产业化,1
产业,1
战略,1
信息技术,1
决策,1
建言,1
调研,1
部门,1
认知,1
背后,1
挖掘,1
发布,1
十余篇,1
奖励,1
国内外,1
学术会议,1
研究成果,1
管理,1
落地,1
转化,1
表征,1
追踪,1
情报学,1
构建,1
工科,1
叠加,1
效应,1
分类,1
框架,1
背景,1
进一步,1
学院,1
获得好评,1
教材,1
用于,1
本科专业,1
主打,1
教学,1
无论是,1
教师,1
学业,1
导师,1
引导,1
通俗易懂,1
生活,1
理解,1
课本,1
枯燥,1
盲区,1
困惑,1
就业,1
疑惑,1
师生,1
交流,1
十四五,1
主编,1
一流,1
传授,1
讲台,1
做好,1
一位,1
老师,1
教书育人,1
从小,1
梦想,1
热爱,1
不仅仅,1
自主,1
省级,1
承担,1
前沿,1
治理,1
博士生,1
成绩,1
优异,1
授课,1
二等奖,1
主讲,1
亦师亦友,1
立足,1
有效途径,1
参与,1
交叉学科,1
方向,1
科学,1
桥梁,1
一方,1
推动,1
中观,1
层面,1
多个,1
融合,1
应对,1
行业,1
升级,1
必由之路,1
更是,1
主动,1
应变,1
重塑,1
优势,1
持续,1
高质量,1
时代背景,1
强国,1
建设,1
一等奖,1
各类,1
科研项目,1
实践,1
思维,1
奖学金,1
优秀,1
全国,1
数据挖掘,1
斩获,1
认可,1
浪潮,1
成就感,1
开心,1
幸福,1
事情,1
跟踪,1
学术前沿,1
反哺,1
母校,1
新一轮,1
采纳,1
