人才,10
建设,8
发展,7
工作,6
引进,6
合作,6
团队,5
思路,4
会议,4
传播,4
学院,4
学生,4
新闻,4
未来,4
方向,4
领导班子,3
学科,3
提出,3
系主任,3
媒体,3
院长,3
鹤立,3
务虚会,3
专业,3
背景,3
重点,2
引进人才,2
教学,2
意见,2
传达,2
下功夫,2
国际化,2
精神,2
充分利用,2
聚焦,2
学校,2
主任,2
融合,2
围绕,2
凝练,2
三年,2
分析,2
队伍,2
补充,2
研究,2
校友,2
教材,2
支持,1
意见建议,1
充分肯定,1
交流,1
加大力度,1
高校,1
着重,1
指出,1
有机,1
中亚地区,1
开拓,1
交叉学科,1
针对性,1
招收,1
短板,1
科学研究,1
困惑,1
交叉,1
各系,1
需求,1
解决,1
短缺,1
缓解,1
理工科,1
下午,1
核心,1
智能,1
大幅,1
提升,1
应有,1
新思路,1
办法,1
人民邮电出版社,1
论坛,1
科研经费,1
尽快,1
启动,1
香港浸会大学,1
办学,1
持续,1
推进,1
一步,1
近期,1
改善,1
利用,1
局面,1
实践,1
相结合,1
拓宽,1
落实,1
导师制,1
黑山,1
部署,1
主体,1
联合,1
形式,1
产学研,1
深度,1
安排,1
大学,1
陕西省,1
欧洲,1
继续加强,1
代表,1
存量,1
激活,1
大胆,1
德智体,1
培养,1
主渠道,1
课堂教学,1
人才培养,1
参加,1
助理,1
书记,1
党总支,1
主持会议,1
设想,1
国际,1
举措,1
目标,1
特色,1
研讨,1
攻坚克难,1
创新,1
观念,1
转换,1
解放思想,1
西安交通大学,1
学习,1
新学期,1
会议室,1
新闻系,1
处于,1
平原,1
产业,1
教师,1
中青年,1
高层次,1
突破,1
传统,1
学术会议,1
举办,1
基础学科,1
史论,1
强化,1
实质,1
建立,1
中心,1
创意,1
地势,1
实验室,1
仿真,1
虚拟,1
申报,1
计划,1
对接,1
沟通,1
国家电网,1
加大,1
科研,1
着力,1
亮点,1
高地,1
校庆,1
